Zeit;Kanal A;Kanal B
(ms);(mV);(mV)

-22,66458244;0,00000000;99,73240000
-22,65958244;-0,69881890;99,73240000
-22,65458244;0,00000000;104,06930000
-22,64958244;0,17470470;99,73240000
-22,64458244;0,34940940;104,06930000
-22,63958244;0,34940940;104,06930000
-22,63458245;-0,17470470;104,06930000
-22,62958245;0,17470470;104,06930000
-22,62458245;0,52411410;99,73240000
-22,61958245;0,34940940;104,06930000
-22,61458245;1,04822800;104,06930000
-22,60958245;-0,34940940;104,06930000
-22,60458245;0,00000000;104,06930000
-22,59958245;0,69881890;108,40610000
-22,59458245;0,17470470;108,40610000
-22,58958245;0,87352360;108,40610000
-22,58458245;0,52411410;108,40610000
-22,57958245;0,17470470;108,40610000
-22,57458245;1,04822800;108,40610000
-22,56958245;0,17470470;108,40610000
-22,56458245;1,04822800;108,40610000
-22,55958245;-0,34940940;112,74300000
-22,55458245;0,52411410;108,40610000
-22,54958245;0,87352360;112,74300000
-22,54458245;0,34940940;112,74300000
-22,53958245;0,69881890;117,07980000
-22,53458245;0,52411410;108,40610000
-22,52958245;0,87352360;112,74300000
-22,52458245;0,00000000;117,07980000
-22,51958245;1,22293300;112,74300000
-22,51458245;0,00000000;117,07980000
-22,50958245;0,52411410;117,07980000
-22,50458245;1,04822800;117,07980000
-22,49958245;1,39763800;117,07980000
-22,49458245;0,00000000;117,07980000
-22,48958245;0,52411410;121,41670000
-22,48458245;0,00000000;117,07980000
-22,47958245;0,17470470;121,41670000
-22,47458245;0,17470470;117,07980000
-22,46958245;0,17470470;117,07980000
-22,46458245;0,69881890;117,07980000
-22,45958245;0,17470470;125,75360000
-22,45458245;-0,87352360;117,07980000
-22,44958245;0,00000000;121,41670000
-22,44458245;0,34940940;121,41670000
-22,43958245;0,52411410;121,41670000
-22,43458245;0,87352360;121,41670000
-22,42958245;0,52411410;125,75360000
-22,42458245;0,52411410;125,75360000
-22,41958245;0,87352360;125,75360000
-22,41458245;0,52411410;125,75360000
-22,40958245;-0,34940940;121,41670000
-22,40458245;1,04822800;121,41670000
-22,39958245;0,52411410;125,75360000
-22,39458245;0,87352360;125,75360000
-22,38958245;1,04822800;130,09040000
-22,38458245;0,87352360;125,75360000
-22,37958245;1,22293300;125,75360000
-22,37458245;1,04822800;130,09040000
-22,36958245;0,00000000;130,09040000
-22,36458245;1,74704700;125,75360000
-22,35958245;0,87352360;130,09040000
-22,35458245;1,22293300;130,09040000
-22,34958245;0,52411410;130,09040000
-22,34458245;0,52411410;130,09040000
-22,33958245;0,34940940;134,42730000
-22,33458245;0,87352360;134,42730000
-22,32958245;1,04822800;130,09040000
-22,32458245;0,69881890;134,42730000
-22,31958245;0,52411410;134,42730000
-22,31458245;0,00000000;130,09040000
-22,30958245;-0,34940940;134,42730000
-22,30458245;-0,34940940;134,42730000
-22,29958245;-0,69881890;138,76410000
-22,29458245;0,52411410;134,42730000
-22,28958245;-0,17470470;138,76410000
-22,28458245;0,00000000;138,76410000
-22,27958245;0,34940940;138,76410000
-22,27458245;1,22293300;138,76410000
-22,26958245;0,52411410;134,42730000
-22,26458245;0,52411410;134,42730000
-22,25958245;0,52411410;138,76410000
-22,25458245;1,92175200;134,42730000
-22,24958245;0,52411410;143,10100000
-22,24458245;1,04822800;143,10100000
-22,23958246;0,52411410;143,10100000
